Experiment,TimeTrack_Size,Dataset2_3_Size,Dataset,Model,Samples,Train Time (s),Memory Used (MB),Max CPU (%),Avg CPU (%),MAE,MSE,MAPE
Size_5670_851,5670,851,TimeTrack,MLP,5670,2.2869,10.48,18.29,12.07,0.006252014321183506,9.579678811391797e-05,3.2722240588239444
Size_5670_851,5670,851,Dataset2,LSTM,851,1.5805,38.86,19.09,10.76,0.01949553229200557,0.0006183511754596918,23.909374811829192
Size_5670_851,5670,851,Dataset2,GRU,851,2.3377,39.64,23.2,13.59,0.017817440780386874,0.0006807130328369148,20.328435730717466
Size_5670_851,5670,851,Dataset2,RNN,851,1.1755,15.54,21.36,13.14,0.014014506099823553,0.0003692018412983573,16.67523863468078
Size_5670_851,5670,851,Dataset2,CNN,851,1.1972,8.74,14.06,11.1,0.014034478774295544,0.0003614658631706164,16.938013449445023
Size_5670_851,5670,851,Dataset2,TCN,851,2.3205,81.34,21.52,11.4,0.022039645783484614,0.0006299582241524935,28.85508157746684
Size_5670_851,5670,851,Dataset2,Transformer,851,1.3793,73.21,20.77,11.94,0.018468491699043757,0.0005893795358138735,22.156692898856996
Size_5670_851,5670,851,Dataset2,MLP,851,1.2079,3.47,14.95,10.34,0.012822604192217401,0.00033733854086251023,15.428025748656376
Size_5670_851,5670,851,Dataset3,LSTM,851,4.5018,8.91,23.1,14.52,0.06726675214683055,0.007874883111828823,18.649773301702947
Size_5670_851,5670,851,Dataset3,GRU,851,3.3487,18.43,24.07,14.59,0.06241410241830624,0.00711928049069881,16.911121009494494
Size_5670_851,5670,851,Dataset3,RNN,851,2.3096,12.96,21.58,15.47,0.06102658644780878,0.006990638963947531,15.889783119602422
Size_5670_851,5670,851,Dataset3,CNN,851,1.756,1.62,14.92,11.61,0.06280884369852838,0.007432860872907508,15.791996797805814
Size_5670_851,5670,851,Dataset3,TCN,851,2.1044,15.53,23.27,16.22,0.062344157901629386,0.00705135056887945,16.341061933264374
Size_5670_851,5670,851,Dataset3,Transformer,851,2.9403,18.22,21.57,16.36,0.1195034657083825,0.020140099595910736,34.477878582954794
Size_5670_851,5670,851,Dataset3,MLP,851,1.2085,4.15,14.07,10.19,0.0589851339976876,0.006491838910986644,15.61139882805273
Size_6300_945,6300,945,TimeTrack,LSTM,6300,14.88,38.77,24.06,17.43,0.010311313729802382,0.0006027756125552407,4.92788821878748
Size_6300_945,6300,945,TimeTrack,GRU,6300,13.3045,34.24,24.06,17.59,0.010657462853774878,0.0006049253846974274,5.153309811166531
Size_6300_945,6300,945,TimeTrack,RNN,6300,4.1728,11.61,24.08,18.44,0.010656528416471679,0.0005884239489449189,5.143329297966609
Size_6300_945,6300,945,TimeTrack,CNN,6300,7.7724,8.13,16.62,13.95,0.01012018355878766,0.0005828826753851699,4.842837891355747
Size_6300_945,6300,945,TimeTrack,TCN,6300,8.78,19.0,368.68,25.42,0.010106172003060744,0.0006056645182049142,4.833780982421121
Size_6300_945,6300,945,TimeTrack,Transformer,6300,6.8314,16.14,27.41,20.7,0.01846804311878054,0.0009276433166925058,9.11071011074614
